X,Y,BLOCK,TABLE,PARTICIPANT,GENRE_CODE
0,0,C,27,42,Green
1,0,C,26,30,Blue
2,0,C,25,49,Gray
3,0,C,24,46,Black
4,0,C,23,14,Green
7,0,B,22,1,Red
8,0,B,21,13,Violet
9,0,B,20,33,Blue
10,0,B,19,16,Yellow
13,0,A,18,8,Blue
14,0,A,17,45,YellowGreen
15,0,A,16,17,Blue
16,0,A,15,35,Gray
17,0,A,14,31,Yellow
18,0,A,13,52,Red
19,0,A,12,27,Blue
0,1,C,28,51,Yellow
19,1,A,11,28,Pink
0,2,C,29,57,Green
2,2,F,57,38,Orange
3,2,F,56,47,Brown
4,2,F,55,55,Violet
7,2,E,50,60,Blue
8,2,E,49,58,Yellow
9,2,E,48,24,Black
10,2,E,47,41,Red
13,2,D,41,59,White
14,2,D,40,20,Yellow
15,2,D,39,9,Green
16,2,D,38,37,Red
17,2,D,37,53,Green
19,2,A,10,18,Yellow
0,3,C,30,12,Red
2,3,F,58,10,Green
3,3,F,59,7,Red
4,3,F,60,34,Pink
7,3,E,51,25,White
8,3,E,52,23,Black
9,3,E,53,54,Orange
10,3,E,54,21,Red
13,3,D,42,50,Blue
14,3,D,43,36,Green
15,3,D,44,15,Blue
16,3,D,45,48,White
17,3,D,46,39,White
19,3,A,9,56,Blue
0,4,C,31,11,Purple
19,4,A,8,4,Blue
0,5,C,32,32,Orange
1,5,C,33,22,Blue
2,5,C,34,2,Red
3,5,C,35,29,Green
4,5,C,36,5,Green
13,5,A,1,43,Yellow
14,5,A,2,6,Blue
15,5,A,3,26,Yellow
16,5,A,4,44,Green
17,5,A,5,3,Blue
18,5,A,6,19,SkyBlue
19,5,A,7,40,Blue
